acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.410356619,-0.297020029,0.824621397,2.266419253,-1.962809624,-4.26651427,2
-0.406448461,-0.277479238,0.836345872,0.118247961,-0.238093868,-0.129433579,2
-0.402540303,-0.289203713,0.832437714,0.005326485,-0.086821701,0.037285393,2
-0.398632145,-0.269662921,0.86370298,0.005326485,-0.130498876,0.049536308,2
-0.394723986,-0.281387396,0.851978505,-0.061787223,-0.141151845,0.072972841,2
-0.406448461,-0.277479238,0.871519297,-0.119845906,-0.151804815,0.095344077,2
-0.418172936,-0.281387396,0.836345872,-0.135825361,-0.143282439,0.081495216,2
-0.433805569,-0.230581339,0.859794822,-0.188557559,-0.107594992,0.013316212,2
-0.398632145,-0.230581339,0.86370298,0.009587673,-0.064983114,-0.081495216,2
-0.382999511,-0.269662921,0.902784563,0.075103435,-0.055395441,-0.134227415,2
-0.359550562,-0.332193454,0.879335613,0.140086548,-0.047938363,-0.091615537,2
-0.375183195,-0.402540303,0.84025403,-0.020240642,-0.100137913,-0.044209823,2
-0.379091353,-0.316560821,0.758182706,-0.36646215,-0.192286099,0.005326485,2
-0.422081094,-0.351734245,0.777723498,-0.92787364,-0.335568538,-0.168849566,2
-0.359550562,-0.410356619,0.824621397,-1.354525067,-0.455947093,-0.453283851,2
-0.22667318,-0.27357108,0.793356131,-1.053046031,-0.294554606,-0.501754862,2
-0.336101612,-0.656570591,0.902784563,-1.227754731,-0.495895729,-0.461273578,2
-0.140693698,-0.656570591,0.797264289,-1.244799482,-0.465002117,-0.604556017,2
-0.285295554,-0.875427455,0.820713239,-2.092775851,-0.4362391,-0.859161987,2
-0.308744504,-1.00048852,0.554958476,-3.153278961,-0.740914026,-0.996052645,2
-0.054714216,-0.918417196,0.265754763,-2.238188884,-0.491634541,-0.454881796,2
0,-0.746458232,0.398632145,-1.062633704,-0.036220096,-0.280173097,2
0.070346849,-0.848070347,0.261846605,-0.128368282,0.116117367,-0.163523081,2
0.093795799,-0.832437714,0.214948705,0.595500993,-0.347819453,0.067646356,2
0.13678554,-0.574499267,0.031265266,0.950777525,-0.914557428,0.181633129,2
0.164142648,-0.187591597,-0.101612115,1.813668051,-1.621381952,-0.034089502,2
0.410356619,-0.47679531,0.445530044,1.967070811,-2.502382527,-0.607219259,2
0.578407426,-0.504152418,0.605764533,0.576325648,-3.642782908,-1.883445001,2
1.106008793,-0.449438202,0.984855887,1.393941054,-3.818024256,-2.867779379,2
1.195896434,-0.547142159,0.891060088,1.149988054,-3.656631768,-2.958862268,2
1.274059599,-0.554958476,0.957498779,1.278356336,-2.562039156,-2.670166796,2
1.152906693,-0.328285296,0.957498779,1.519113445,-2.028858034,-2.027792737,2
1.145090376,-0.238397655,0.72691744,2.224340024,-1.860008468,-1.215503816,2
1.152906693,-0.472887152,0.488519785,1.926056879,-1.487154537,-1.263974827,2
0.957498779,-0.793356131,0.5901319,-1.121757684,-1.275693093,-2.463499188,2
0.996580362,-0.914509038,0.347826087,-3.350891545,-0.088419647,-2.932762493,2
0.742550073,-0.398632145,0.453346361,-6.522813202,0.942255149,-2.533808787,2
0.891060088,-0.38690767,0.437713727,0.026099775,0.330774702,1.265572772,2
1.023937469,-0.418172936,0.379091353,-0.155000706,0.249279485,2.168411934,2
1.125549585,-0.375183195,0.47679531,-0.782460607,0.2615304,2.391058996,2
1.184171959,-0.269662921,0.47679531,-1.061035759,0.48151422,2.6163693,2
1.156814851,-0.187591597,0.527601368,-1.187806095,0.711085712,2.64779556,2
1.199804592,-0.132877382,0.551050318,-1.192067283,0.676996209,2.44911768,2
1.016121153,-0.074255007,0.480703468,-0.946516337,0.412269918,2.11408179,2
0.914509038,-0.007816317,0.414264778,-0.599229532,0.168849566,1.46531595,2
0.867611138,-0.050806058,0.414264778,-0.320654381,-0.12570504,0.418129051,2
0.88715193,-0.121152907,0.394723986,0.16032719,-0.393627222,-0.69084507,2
1.008304836,-0.152418173,0.492427943,0.437837045,-0.542236146,-1.38488603,2
0.86370298,-0.211040547,0.371275037,0.912959483,-0.550758521,-1.544680572,2
1.223253542,-0.336101612,0.398632145,0.808560382,-0.337166484,-2.050696622,2
1.125549585,-0.277479238,0.50024426,1.051980734,-0.474057141,-2.112483845,2
1.00048852,-0.468978994,0.289203713,1.443477362,-0.528387285,-1.756142016,2
0.898876404,-0.551050318,0.238397655,0.828801024,-0.329709405,-1.583563911,2
0.789447973,-0.484611627,0.234489497,0.374451877,-0.251410079,-1.149455405,2
0.652662433,-0.535417684,0.171958964,0.378713064,-0.207732905,-0.524126098,2
0.75036639,-0.488519785,0.246213972,-0.061787223,-0.050601605,-0.18482902,2
0.828529555,-0.453346361,0.320468979,0.089484943,-0.014914157,0.182165778,2
0.980947728,-0.468978994,0.445530044,-0.486840704,-0.056460738,0.249279485,2
1.418661456,-0.324377137,0.695652174,-0.81282157,0.040481284,0.683387991,2
1.309233024,-0.222765022,0.707376649,-0.531050528,-0.075103435,1.600076013,2
1.297508549,-0.297020029,0.445530044,-0.689247124,0.664745295,2.245113314,2
1.035661944,-0.203224231,0.496336102,-1.228820028,1.110572067,2.283996653,2
0.88715193,-0.179775281,0.390815828,-1.563855917,1.037599226,1.836571935,2
0.734733757,-0.058622374,0.34000977,-1.07435197,0.645037301,1.41631229,2
0.746458232,-0.02344895,0.351734245,-0.421857591,0.269520127,0.922547156,2
0.820713239,-0.050806058,0.398632145,0.116117367,-0.166718972,0.180035184,2
0.918417196,-0.082071324,0.38690767,0.448490014,-0.426118779,-0.479916274,2
1.059110894,-0.175867123,0.418172936,1.154249241,-0.515603722,-1.583563911,2
1.059110894,-0.175867123,0.418172936,1.154249241,-0.515603722,-1.583563911,2
0.621397167,-0.359550562,0.347826087,0.055395441,0.353678586,0.836258103,2
1.195896434,-0.343917929,0.543234001,-2.988690583,-0.421857591,-0.229571492,2
0.937957987,-0.183683439,0.422081094,1.220297652,-1.011499451,-0.218918522,2
