acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.652662433,-0.281387396,-0.574499267,0.805364491,0.287097527,-0.144880385,0
0.652662433,-0.281387396,-0.574499267,0.805364491,0.287097527,-0.144880385,0
0.820713239,-0.148510015,-0.680019541,-0.153935409,-0.268987479,0.012250915,0
0.832437714,-0.261846605,-0.715192965,0.061787223,-0.085756404,-0.161392487,0
0.723009282,-0.121152907,-0.633121641,0.061787223,-0.085756404,-0.161392487,0
0.723009282,-0.121152907,-0.633121641,-0.141151845,0.047405714,-0.202939068,0
0.723009282,-0.121152907,-0.633121641,-0.141151845,0.047405714,-0.202939068,0
0.723009282,-0.121152907,-0.633121641,-0.141151845,0.047405714,-0.202939068,0
0.754274548,-0.074255007,-0.605764533,-0.1219765,0.055395441,-0.103333804,0
0.754274548,-0.074255007,-0.605764533,-0.1219765,0.055395441,-0.103333804,0
0.754274548,-0.109428432,-0.601856375,0.037818042,-0.035687448,-0.0175774,0
0.754274548,-0.109428432,-0.601856375,0.037818042,-0.035687448,-0.0175774,0
0.793356131,-0.144601856,-0.656570591,0.06285252,-0.034089502,0.041546581,0
0.859794822,-0.492427943,0.128969223,0.231169437,-0.214124686,-0.518799613,0
1.195896434,-0.332193454,0.472887152,-1.551605002,-0.265791588,0.508679292,0
1.297508549,-0.22667318,0.519785051,-1.559594729,-0.030893611,1.41631229,0
1.285784074,-0.13678554,0.566682951,-1.166500156,0.238093868,2.199305546,0
1.211529067,-0.168050806,0.496336102,-0.877272035,0.651429083,2.70372365,0
1.332681974,-0.148510015,0.355642404,1.504731937,-0.880467926,-2.996147662,0
0.836345872,-0.472887152,0.234489497,0.733989596,0.021838587,-0.428782021,0
1.102100635,-0.543234001,0.320468979,0.341427671,0.017044751,-0.179502535,0
0.707376649,0.234489497,-0.105520274,0.500156916,-0.542236146,-0.156066003,0
0.918417196,0.218856864,0.054714216,1.480762755,-1.027478905,-0.662082052,0
0.918417196,0.218856864,0.054714216,1.480762755,-1.027478905,-0.662082052,0
1.336590132,0.164142648,0.148510015,1.111104715,-1.599010716,-1.28368282,0
0.812896922,0.070346849,0,1.728444295,-1.259180991,0.94545104,0
1.84074255,0.328285296,-0.031265266,1.947362818,-0.825072485,1.605402498,0
1.406936981,0.472887152,-1.70395701,-0.100137913,-1.404061375,-0.227973547,0
1.598436737,0.543234001,-1.2271617,0.759024074,-2.20463203,-0.964093736,0
1.184171959,0.664386908,0.746458232,1.294868438,-2.004356204,-1.265572772,0
0.328285296,-0.074255007,1.125549585,2.914652445,-0.867684363,-1.337480316,0
-0.88715193,-3.744015633,-0.168050806,2.921576875,1.356655661,-0.027697721,0
-0.88715193,-3.744015633,-0.168050806,2.921576875,1.356655661,-0.027697721,0
-0.379091353,-2.759159746,-0.898876404,-0.066581059,1.870128789,2.767641467,0
-0.379091353,-2.759159746,-0.898876404,-0.066581059,1.870128789,2.767641467,0
0.156326331,-2.086956522,-0.922325354,-1.145726866,1.773186767,3.329585606,0
0.156326331,-2.086956522,-0.922325354,-1.145726866,1.773186767,3.329585606,0
0.699560332,-0.152418173,0.128969223,-4.763475295,1.497274858,2.78042503,0
0.699560332,-0.152418173,0.128969223,-4.763475295,1.497274858,2.78042503,0
1.860283341,0.480703468,-1.254518808,-3.0526084,3.639587017,4.350672729,0
1.860283341,0.480703468,-1.254518808,-3.0526084,3.639587017,4.350672729,0
1.672691744,0.480703468,0.066438691,-3.950653725,0.846911072,3.487782202,0
1.672691744,0.480703468,0.066438691,-3.950653725,0.846911072,3.487782202,0
0.97703957,1.106008793,-0.148510015,-0.570999163,0.307870817,3.324791769,0
0.97703957,1.106008793,-0.148510015,-0.570999163,0.307870817,3.324791769,0
1.098192477,0.765999023,0.101612115,-2.938088978,2.706919541,3.498435172,0
2.129946263,0.75036639,-0.371275037,-1.263442178,1.409920508,3.074446987,0
2.129946263,0.75036639,-0.371275037,-1.263442178,1.409920508,3.074446987,0
1.551538837,-0.02344895,-0.304836346,2.448585031,-0.373919228,3.122917998,0
1.551538837,-0.02344895,-0.304836346,2.448585031,-0.373919228,3.122917998,0
1.492916463,-0.949682462,-2.200293112,2.492794854,-1.069558134,1.70926895,0
1.492916463,-0.949682462,-2.200293112,2.492794854,-1.069558134,1.70926895,0
0.6370298,-0.836345872,-0.492427943,0.192286099,0.219451171,0.594968345,0
0.6370298,-0.836345872,-0.492427943,0.192286099,0.219451171,0.594968345,0
1.059110894,-0.078163166,0.078163166,-1.973462593,0.253008025,0.208798201,0
1.059110894,-0.078163166,0.078163166,-1.973462593,0.253008025,0.208798201,0
0.984855887,-0.261846605,0.238397655,-0.479916274,-0.059123981,0.593370399,0
0.984855887,-0.261846605,0.238397655,-0.479916274,-0.059123981,0.593370399,0
0.883243771,-0.238397655,0.308744504,-0.687649179,0.02077329,-0.060189277,0
0.820713239,-0.222765022,0.160234489,-0.307338169,-0.033556854,-0.214124686,0
0.84025403,-0.25012213,0.238397655,-0.158729245,-0.169382214,-0.452218554,0
0.914509038,-0.289203713,0.074255007,-0.152870112,-0.271118073,-0.518799613,0
0.914509038,-0.289203713,0.074255007,-0.152870112,-0.271118073,-0.518799613,0
0.72691744,-0.27357108,-0.007816317,-0.095344077,-0.554487061,-0.197612584,0
0.72691744,-0.27357108,-0.007816317,-0.095344077,-0.554487061,-0.197612584,0
0.609672692,-0.27357108,-0.551050318,-1.086070237,-0.602958072,0.181633129,0
1.012212995,-0.785539814,-0.707376649,-0.615741635,-1.072754025,-0.317991138,0
1.469467513,-0.683927699,-0.625305325,-1.352927122,-2.865648786,-1.343339449,0
2.645823156,-0.11333659,-0.558866634,-1.959081084,-3.146354531,-1.421638775,0
1.993160723,-0.156326331,-0.22667318,-2.695733923,-3.829742522,1.096723206,0
0.762090865,-0.414264778,0.894968246,1.250658615,-3.538916456,2.114614438,0
0.762090865,-0.414264778,0.894968246,1.250658615,-3.538916456,2.114614438,0
0.597948217,0.039081583,0.70346849,-0.52678934,-0.88952295,2.918380984,0
0.168050806,0.511968735,0.13678554,2.37934073,1.166500156,4.364521589,0
0.168050806,0.511968735,0.13678554,2.37934073,1.166500156,4.364521589,0
0.390815828,-0.164142648,-2.036150464,1.567051808,5.219422388,1.630436976,0
0.390815828,-0.164142648,-2.036150464,1.567051808,5.219422388,1.630436976,0
2.387884709,1.11382511,-1.293600391,-2.898672991,3.392438126,-2.738878449,0
2.387884709,1.11382511,-1.293600391,-2.898672991,3.392438126,-2.738878449,0
2.360527601,0.160234489,-1.11382511,4.73045109,-1.331088534,-1.191001986,0
2.360527601,0.160234489,-1.11382511,4.73045109,-1.331088534,-1.191001986,0
1.086468002,-0.054714216,1.430385931,5.677500075,-4.979730576,2.990288528,0
1.086468002,-0.054714216,1.430385931,5.677500075,-4.979730576,2.990288528,0
1.301416707,-0.402540303,0.660478749,1.359851552,-4.933922807,3.971427016,0
1.301416707,-0.402540303,0.660478749,1.359851552,-4.933922807,3.971427016,0
-2.555935515,1.211529067,1.766487543,-0.556617654,-5.939030476,-1.070623431,0
-2.555935515,1.211529067,1.766487543,-0.556617654,-5.939030476,-1.070623431,0
-1.504640938,-3.450903762,-0.95359062,-0.690312421,1.649079673,-6.279925499,0
-1.504640938,-3.450903762,-0.95359062,-0.690312421,1.649079673,-6.279925499,0
-2.043966781,-2.782608696,-0.058622374,-0.663147349,4.006581815,-3.569277419,0
-2.043966781,-2.782608696,-0.058622374,-0.663147349,4.006581815,-3.569277419,0
2.571568149,-0.468978994,-2.255007328,-2.148703941,5.998687105,-2.143377456,0
2.571568149,-0.468978994,-2.255007328,-2.148703941,5.998687105,-2.143377456,0
0.562774792,-0.297020029,-0.257938447,-1.790764167,-1.697018035,0.691910367,0
0.562774792,-0.297020029,-0.257938447,-1.790764167,-1.697018035,0.691910367,0
0.257938447,-0.52369321,-0.425989253,-1.268768663,-0.521995504,0.670071779,0
0.257938447,-0.52369321,-0.425989253,-1.268768663,-0.521995504,0.670071779,0
0.27357108,-0.332193454,-0.527601368,-1.262376881,-0.080429919,0.385637495,0
0.08988764,-0.058622374,-0.672203224,0.120911203,-0.722803978,0.676996209,0
0.08988764,-0.058622374,-0.672203224,0.120911203,-0.722803978,0.676996209,0
0.109428432,-0.797264289,-0.629213483,0.120911203,-0.722803978,0.676996209,0
0.109428432,-0.797264289,-0.629213483,1.721519865,-0.155000706,0.495895729,0
0.109428432,-0.797264289,-0.629213483,1.721519865,-0.155000706,0.495895729,0
0.390815828,-0.461162677,-1.160723009,1.049317492,-0.203471717,0.814419515,0
0.390815828,-0.461162677,-1.160723009,1.049317492,-0.203471717,0.814419515,0
0.300928188,-0.84025403,-0.805080606,0.812288922,-1.774784713,0.691377718,0
0.300928188,-0.84025403,-0.805080606,0.812288922,-1.774784713,0.691377718,0
0.351734245,-0.633121641,-0.406448461,-0.374451877,-0.279640448,0.442630881,0
0.351734245,-0.633121641,-0.406448461,-0.374451877,-0.279640448,0.442630881,0
0.082071324,-0.609672692,-0.414264778,0.39415987,0.207200256,0.103866452,0
0.082071324,-0.609672692,-0.414264778,0.39415987,0.207200256,0.103866452,0
0.074255007,-0.801172447,-0.785539814,0.343025617,-0.01384886,-0.009055024,0
0.074255007,-0.801172447,-0.785539814,0.343025617,-0.01384886,-0.009055024,0
0.066438691,-1.027845628,-0.554958476,0.491101892,-0.386170143,0.140619197,0
0.066438691,-1.027845628,-0.554958476,0.491101892,-0.386170143,0.140619197,0
0.171958964,-0.777723498,-0.535417684,0.226375601,-0.053797496,0.029295666,0
0.171958964,-0.777723498,-0.535417684,0.226375601,-0.053797496,0.029295666,0
1.121641426,-0.179775281,-0.148510015,-0.460740929,1.000846481,-0.452751202,0
1.043478261,-0.207132389,-0.097703957,-0.075636083,0.458610335,-0.791515631,0
1.043478261,-0.207132389,-0.097703957,-0.075636083,0.458610335,-0.791515631,0
0.961406937,-0.211040547,0.121152907,0.962495791,-0.589109211,-1.192599931,0
0.269662921,-0.297020029,-0.074255007,0.262595697,-2.435268819,-0.162990433,0
0.808988764,-0.468978994,-0.128969223,-0.104399101,-2.56044121,-0.815484812,0
0.808988764,-0.468978994,-0.128969223,-0.104399101,-2.56044121,-0.815484812,0
1.254518808,-0.84025403,-0.207132389,-0.136358009,-2.608379573,-1.283150172,0
1.254518808,-0.84025403,-0.207132389,-0.136358009,-2.608379573,-1.283150172,0
1.023937469,-0.437713727,-0.586223742,-0.626927253,-2.270680441,0.81282157,0
1.023937469,-0.437713727,-0.586223742,-0.626927253,-2.270680441,0.81282157,0
1.324865657,0.367366878,-0.652662433,-2.279735465,-1.5350929,0.834127509,0
1.129457743,0.570591109,-0.214948705,-0.170447511,-2.228601212,1.041860413,0
0.816805081,0.597948217,0.36345872,0.720673384,-1.926056879,0.682322694,0
0.816805081,0.597948217,0.36345872,0.720673384,-1.926056879,0.682322694,0
