acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
1.016121153,-0.390815828,0.332193454,0.754230238,-0.40800873,-1.236809755,0
1.027845628,-0.402540303,0.300928188,0.517734316,-0.128368282,-1.031207444,0
1.047386419,-0.449438202,0.214948705,0.26525894,0.152337463,-0.560878842,0
0.984855887,-0.398632145,0.222765022,-0.210928795,0.238626516,-0.099072616,0
1.020029311,-0.34000977,0.168050806,-0.425053482,0.092680834,0.214124686,0
0.965315095,-0.25012213,0.164142648,-0.251410079,-0.200808474,0.345156211,0
0.980947728,-0.207132389,0.234489497,-0.086289053,-0.353145938,0.397888409,0
0.984855887,-0.265754763,0.242305813,0.344623562,-0.388300737,0.590174508,0
0.957498779,-0.281387396,0.285295554,0.345688859,-0.38031101,0.61414369,0
0.949682462,-0.285295554,0.289203713,0.143815088,-0.293489309,0.482046868,0
0.894968246,-0.289203713,0.261846605,-0.059656629,-0.155000706,0.266324237,0
0.894968246,-0.257938447,0.281387396,-0.212526741,-0.023436533,0.104399101,0
0.894968246,-0.242305813,0.285295554,-0.096942022,0.026632424,0.095344077,0
0.922325354,-0.222765022,0.308744504,0.062319871,0.087886998,0.048471011,0
0.902784563,-0.25012213,0.269662921,0.24075711,0.137423306,-0.066048411,0
0.910600879,-0.25012213,0.289203713,0.230636789,0.158729245,-0.21625528,0
0.97703957,-0.242305813,0.304836346,0.26845483,0.159261893,-0.286564879,0
0.996580362,-0.308744504,0.222765022,0.86874966,0.018110048,0.022903884,0
0.988764045,-0.367366878,0.199316072,1.07808051,-0.204004365,0.185361669,0
0.941866146,-0.265754763,0.242305813,0.76754645,-0.115584719,0.02450183,0
0.945774304,-0.300928188,0.257938447,0.715879548,-0.044209823,-0.133694767,0
0.930141671,-0.27357108,0.285295554,0.268987479,-0.104399101,-0.441565584,0
0.910600879,-0.246213972,0.289203713,0.24768154,-0.050601605,-0.564074733,0
0.965315095,-0.320468979,0.277479238,0.385104846,-0.097474671,-0.508146643,0
0.984855887,-0.27357108,0.300928188,0.38723544,-0.134760064,-0.295619903,0
0.973131412,-0.269662921,0.297020029,0.486840704,-0.208265553,-0.02450183,0
0.894968246,-0.22667318,0.308744504,0.498026322,-0.291891363,0.180567832,0
0.867611138,-0.179775281,0.343917929,0.755828183,-0.289760769,0.405878137,0
0.902784563,-0.211040547,0.34000977,0.818680703,-0.291891363,0.262595697,0
